Категория;ВидТовара;2014;2015;2016;2017
Ткани;Ткани хлопчатобумажные бельевые, за м;88,45;113,06;124,5;126,76
Ткани;Ткань костюмная шерстяная и полушерстяная, за м;547,07;723,45;794,4;873,21
Ткани;Ткань платьевая из искусственного или синтетического шелка, за м;205,71;241,98;273,41;285,31
Ткани;Ткани декоративные для изготовления штор и занавесей, за м;286,14;350,32;387,66;402,88
Полотенца;Полотенце личное;225,97;265,86;289,7;301,64
Полотенца;Полотенце кухонное;68,53;85,82;83,4;86,34
Одежда мужская;Куртка мужская с верхом из плащевых тканей утепленная;5046,73;5693,05;6131,59;6343,55
Одежда мужская;Куртка мужская без утеплителя (ветровка);2805,8;3166;3448,82;3575,94
Одежда мужская;Куртка мужская из натуральной кожи;12961,76;15320,04;16618,59;17285,79
Одежда мужская;Костюм-двойка мужской из шерстяных, полушерстяных или смесовых тканей;6772,7;7837,68;8402,89;8760,36
Одежда мужская;Брюки мужские из полушерстяных или смесовых тканей;1763,03;2036,13;2244,4;2363,94
Одежда мужская;Брюки мужские из джинсовой ткани (джинсы);1974,08;2312,28;2473,08;2480,43
Одежда мужская;Сорочка верхняя мужская из хлопчатобумажных или смесовых тканей;942,07;1116,85;1252,04;1329,22
Одежда женская;Пальто женское зимнее из шерстяных или полушерстяных тканей с меховым воротником;12259,14;13865,67;15135,98;15512,16
Одежда женская;Пальто женское демисезонное из шерстяных или полушерстяных тканей;7776,88;8816,28;9561,5;9796,43
Одежда женская;Пальто (полупальто) женское с верхом из плащевых тканей;6004,43;6759,14;7271,31;7526,88
Одежда женская;Куртка женская без утеплителя (ветровка);2732,29;3053,8;3304,45;3411,25
Одежда женская;Платье (платье-костюм) женское из полушерстяных или смесовых тканей;2853,9;3165;3274,42;3270,63
Одежда женская;Платье (платье-костюм) женское из хлопчато-бумажных или смесовых тканей;745,82;848,9;968,11;1035,11
Одежда женская;Пиджак, жакет женский из шерстяных, полушерстяных или смесовых тканей;2859,81;3097,45;3159,63;3211,44
Одежда женская;Брюки женские из полушерстяных или смесовых тканей;1885,15;2113,29;2260,27;2356,91
Одежда женская;Юбка женская из полушерстяных или смесовых тканей;1835,16;2023,78;2110,36;2158,46
Одежда женская;Блузка женская;1698,9;1868,76;1968,23;1988,51
Одежда женская;Халат женский;598,31;688,31;732,97;775,55
Одежда женская;Сорочка ночная женская;409,12;459,91;503,51;527,83
Одежда детская;Куртка для детей школьного возраста, с верхом из плащевых тканей утепленная;2937,93;3289;3539,24;3664,6
Одежда детская;Брюки для детей школьного возраста из полушерстяных тканей;1016,81;1184,55;1286,82;1369,17
Одежда детская;Брюки для детей школьного возраста из джинсовой ткани;1100,75;1264,61;1379,4;1389,83
Одежда детская;Сорочка верхняя для мальчиков школьного возраста;498,05;596,08;666,44;702,95
Одежда детская;Платье (платье-костюм, сарафан) для девочек школьного возраста из полушерстяных, смесовых тканей;1232,78;1387,21;1519,33;1603,34
Одежда детская;Блузка для девочек школьного возраста;872,8;983,68;1073,48;1117,78
Одежда детская;Юбка для девочек школьного возраста из полушерстяных тканей;918,59;1011,71;1084,73;1144,89
Одежда детская;Куртка для детей дошкольного возраста с верхом их плащевых тканей утепленная;2427,14;2756,21;2897,82;2964,21
Одежда детская;Комбинезон (костюм) утепленный для детей дошкольного возраста;3012,61;3431,07;3767;3923,56
Одежда детская;Сорочка верхняя для мальчиков дошкольного возраста;429,13;519,37;588,73;631,49
Одежда детская;Платье (сарафан) летнее для девочек дошкольного возраста;595,02;688,83;763,23;805,64
Белье для детей ясельного возраста;Комбинезон утепленный для детей до одного года;2513,15;2839,5;3035,87;3128,04
Белье для детей ясельного возраста;Пеленки для новорожденных;114,35;133,68;147,42;149,28
Белье для детей ясельного возраста;Ползунки из хлопчатобумажного трикотажного полотна;144,02;164,83;180,91;187,38
Белье для детей ясельного возраста;Белье для новорожденных и детей ясельного возраста;128,7;155,13;177,19;189,9
Белье постельное;Комплект постельного белья 1,5 спального из хлопчатобумажной ткани;1103,35;1319,65;1433,59;1493,12
Белье постельное;Одеяло стеганое;860,33;1029,59;1090,7;1142,9
Белье постельное;Подушка;576,46;659,31;675,61;694,36
Меха и меховые изделия;Пальто женское меховое или дубленка;38873,99;42775,68;43614,38;44036,01
Меха и меховые изделия;Меховой головной убор мужской из натурального меха;5560,16;6081,38;6563,71;6684,28
Меха и меховые изделия;Меховой головной убор женский из натурального меха;7546,25;8060,15;8209,79;8380,87
Трикотажные изделия;Джемпер мужской;1722,5;1885,11;1996,16;2066,34
Трикотажные изделия;Джемпер женский;1531,2;1690,33;1783,53;1823,04
Трикотажные изделия;Джемпер для детей школьного возраста;942,33;1047,68;1132,71;1168,9
Трикотажные изделия;Костюм спортивный для взрослых;2469,48;2844,25;3007,75;3125
Трикотажные изделия;Костюм спортивный для детей школьного возраста;1286,4;1481,48;1648,19;1749,23
